"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Mgat5",0.0180325944167056,-0.734342863897023,1,1,1,"Mgat5","OM"
"Ccdc102a",0.0181993175010546,0.581873702441608,1,0,1,"Ccdc102a","OM"
"Rfc1",0.0183931232265721,0.822271459611749,1,1,1,"Rfc1","OM"
"Ccdc71l",0.018425630731002,0.788714920770744,1,1,1,"Ccdc71l","OM"
"Tsn",0.0185741917339754,0.684584076824462,1,1,1,"Tsn","OM"
"Epcam",0.0186810205594035,-0.748480452588912,1,1,1,"Epcam","OM"
"Srp9",0.0187587961768673,0.593114966205622,1,1,1,"Srp9","OM"
"Tcf25",0.0190473209064237,-0.477358646968517,1,1,1,"Tcf25","OM"
"Kdm2b",0.0197586935534751,0.809404914664801,1,1,1,"Kdm2b","OM"
"Trbc2",0.0199318770941348,0.404614216940815,1,1,1,"Trbc2","OM"
"Ebf1",0.0203883674972569,-0.702115792511622,1,1,1,"Ebf1","OM"
"Scaper",0.0204169090703313,0.818005616700158,1,1,1,"Scaper","OM"
"Cdk5",0.0206401301328238,0.558959298689713,1,0,1,"Cdk5","OM"
"Cd3d",0.0206431376871262,0.422314854781935,1,1,1,"Cd3d","OM"
"A930007I19Rik",0.0211090721659512,-0.541254574803258,0,1,1,"A930007I19Rik","OM"
"Cnn2",0.0211993123050395,0.597452222833335,1,1,1,"Cnn2","OM"
"Olfm1",0.0213306223089821,-0.527170010768968,0,1,1,"Olfm1","OM"
"Stom",0.0213306223089821,-0.527170010768968,0,1,1,"Stom","OM"
"Chmp4b",0.0217242922894181,0.634999187536363,1,1,1,"Chmp4b","OM"
"Slc25a33",0.0218044683970266,-0.520458755106473,0,1,1,"Slc25a33","OM"
"Fam129a",0.0219460156555912,-0.737495994396198,1,1,1,"Fam129a","OM"
"Golph3l",0.0219985450541432,-0.656159976056347,0.333,1,1,"Golph3l","OM"
"Mt1",0.0220152285051971,-0.607696895068599,1,1,1,"Mt1","OM"
"Ndufv3",0.0220864645872341,-0.464108915843104,1,1,1,"Ndufv3","OM"
"Smox",0.0223200797606194,-0.677467393582576,1,1,1,"Smox","OM"
"Smchd1",0.022464096125446,0.635133263137731,1,1,1,"Smchd1","OM"
"Tagln2",0.022522148304715,-0.357877855466289,1,1,1,"Tagln2","OM"
"Rpl35a",0.0229227577617126,-0.223970259576864,1,1,1,"Rpl35a","OM"
"Wrnip1",0.0230377710168146,0.72720869696177,1,0.667,1,"Wrnip1","OM"
"Ttc39b",0.0231371327469176,0.792070959761655,1,1,1,"Ttc39b","OM"
"Hnrnpa0",0.0234619005169858,0.478291479714625,1,1,1,"Hnrnpa0","OM"
"Gzma",0.0239089874463772,2.71567779562949,1,0.667,1,"Gzma","OM"
"Cox7b",0.0248272532460186,-0.350935210405714,1,1,1,"Cox7b","OM"
"Btf3",0.0248467549670274,-0.249805235920535,1,1,1,"Btf3","OM"
"Endod1",0.0248849098520216,0.646974704107765,1,0.333,1,"Endod1","OM"
"Rpl22l1",0.0253064798698332,-0.249182704937536,1,1,1,"Rpl22l1","OM"
"Wdr61",0.0257867910668885,0.783042130268886,1,1,1,"Wdr61","OM"
"Tubb4b",0.0262654790747931,-0.444332376022044,1,1,1,"Tubb4b","OM"
"Atox1",0.0263220840958649,-0.42699924965344,1,1,1,"Atox1","OM"
"Mtss1",0.0263336313065154,-0.751762668324289,0.667,1,1,"Mtss1","OM"
"Nfkbia",0.0266451229474406,-0.30928258855175,1,1,1,"Nfkbia","OM"
"Ifngr1",0.026730078950367,-0.27681436790408,1,1,1,"Ifngr1","OM"
"Stx18",0.0269418831640046,0.53256473147717,1,0,1,"Stx18","OM"
"Gm42659",0.0270197651947971,-0.506168681833517,0,1,1,"Gm42659","OM"
"Ctnna1",0.027297478445716,0.73116679616744,1,1,1,"Ctnna1","OM"
"Rpl36al",0.0273009387214726,-0.239568915256874,1,1,1,"Rpl36al","OM"
"Calm2",0.0273933390236363,-0.31365243350114,1,1,1,"Calm2","OM"
"Gm48302",0.027471593868361,-0.524354275411824,0,1,1,"Gm48302","OM"
"Rab5if",0.0276882277448478,0.697366902747268,1,1,1,"Rab5if","OM"
"Srfbp1",0.0278263957872388,0.722908322918108,1,0.667,1,"Srfbp1","OM"
"Map1lc3b",0.0279234268064462,-0.414004444401179,1,1,1,"Map1lc3b","OM"
"Zfp825",0.0280228654988152,-0.505216955449106,0,1,1,"Zfp825","OM"
"Ctdsp2",0.0280467008317775,-0.746489982443785,1,1,1,"Ctdsp2","OM"
"Krt14",0.0281243060649817,-0.498581538005539,0,1,1,"Krt14","OM"
