"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ncapd33",5.6271621381882e-31,2.22299838268026,0.542,0.136,1.41404957370531e-26,"29","Ncapd3"
"Suz126",6.09609672755086e-31,1.39970971295916,0.765,0.326,1.53188814666626e-26,"29","Suz12"
"Depdc1a1",6.39033686965445e-31,5.65422098712582,0.396,0.008,1.60582775197547e-26,"29","Depdc1a"
"Hist1h3e2",7.12908197924958e-31,3.99965028056278,0.445,0.032,1.79146701056563e-26,"29","Hist1h3e"
"Chd44",9.28678528792748e-31,1.07548810350489,0.96,0.68,2.3336762750033e-26,"29","Chd4"
"Banf14",1.02405619518628e-30,1.4591657384159,0.833,0.342,2.5733508128836e-26,"29","Banf1"
"Dpy309",1.13944249842865e-30,1.28016983781522,0.843,0.363,2.86330505430136e-26,"29","Dpy30"
"Akirin28",1.51937325068583e-30,1.5502894348286,0.748,0.303,3.81803304164843e-26,"29","Akirin2"
"Rad51ap12",1.54938174392539e-30,4.24776038827642,0.415,0.021,3.89344138431011e-26,"29","Rad51ap1"
"Cep2953",1.64766316905464e-30,2.33670721068771,0.583,0.122,4.14041277751741e-26,"29","Cep295"
"Usp111",1.83607428559106e-30,1.97177838267509,0.72,0.239,4.61387107226177e-26,"29","Usp1"
"Asf1b2",2.64311108163258e-30,4.24241908458511,0.409,0.019,6.64187383703452e-26,"29","Asf1b"
"Slc24a54",2.67142359724872e-30,2.37720278886396,0.574,0.118,6.71302035752631e-26,"29","Slc24a5"
"Spats24",2.88546810928175e-30,2.20245244474867,0.597,0.14,7.25089281181411e-26,"29","Spats2"
"Baz1b3",3.86991491303418e-30,1.33919557420392,0.748,0.328,9.72470918496359e-26,"29","Baz1b"
"Tia17",3.94369204247132e-30,1.55371190580613,0.801,0.304,9.91010373352617e-26,"29","Tia1"
"Cep573",3.956796225024e-30,2.02983986350495,0.587,0.143,9.94303323386281e-26,"29","Cep57"
"Hmg20b5",4.48726174569215e-30,1.32626470188766,0.691,0.266,1.12760400407498e-25,"29","Hmg20b"
"Shisal15",4.60056838859856e-30,2.42420056890174,0.551,0.111,1.15607683037093e-25,"29","Shisal1"
"Srsf45",4.93240535840431e-30,1.76889878732159,0.669,0.207,1.23946414251342e-25,"29","Srsf4"
"Nelfcd",5.15664393015716e-30,2.38959655556667,0.487,0.09,1.29581305320919e-25,"29","Nelfcd"
"Trim283",5.16870143428071e-30,2.13213897507905,0.631,0.159,1.2988429834204e-25,"29","Trim28"
"Hsp90b17",5.46914216630896e-30,0.814736125497021,0.992,0.902,1.37434073497178e-25,"29","Hsp90b1"
"Rtraf4",5.56523691667978e-30,1.16411216443767,0.915,0.514,1.39848838479246e-25,"29","Rtraf"
"Itgb3bp",5.74385436066676e-30,2.77717186138441,0.496,0.073,1.44337316229195e-25,"29","Itgb3bp"
"Lsm72",6.49352704727563e-30,1.49525617332966,0.678,0.239,1.63175841170989e-25,"29","Lsm7"
"Dynll18",6.57149807753594e-30,1.32826360951963,0.972,0.844,1.65135175190401e-25,"29","Dynll1"
"Srsf65",8.06583528552899e-30,1.38948638348475,0.758,0.305,2.02686374890058e-25,"29","Srsf6"
"Smarca47",1.20585730899449e-29,1.38219610931271,0.805,0.318,3.03019883177226e-25,"29","Smarca4"
"Ckap23",1.34417784042768e-29,3.05303116023111,0.419,0.031,3.37778449521071e-25,"29","Ckap2"
"Phip8",1.52576302031551e-29,1.14838305963303,0.89,0.454,3.83408989375083e-25,"29","Phip"
"Cdc25c",1.78263803224641e-29,6.68770499480994,0.369,0.004,4.47959111123201e-25,"29","Cdc25c"
"Gpc2",2.0102297177559e-29,4.69791857337387,0.388,0.015,5.0515062577488e-25,"29","Gpc2"
"Nup107",2.26347289751319e-29,2.93836952961845,0.396,0.049,5.68788104416089e-25,"29","Nup107"
"Hist1h2bm2",2.63329550774183e-29,5.50640363011058,0.4,0.009,6.61720828140446e-25,"29","Hist1h2bm"
"Cldn711",2.73586640500306e-29,0.892716618180193,0.644,0.164,6.8749586891322e-25,"29","Cldn7"
"Foxo64",2.90071735923348e-29,2.54315555635552,0.564,0.108,7.28921265201782e-25,"29","Foxo6"
"Hnrnph37",3.06979779769008e-29,1.39191398023606,0.714,0.273,7.71409488581541e-25,"29","Hnrnph3"
"Nde11",3.1029606740431e-29,2.94604891713727,0.439,0.053,7.7974298778029e-25,"29","Nde1"
"Tuba1b15",3.1035677353379e-29,1.94970953178253,0.758,0.319,7.79895536213062e-25,"29","Tuba1b"
"Bcl2l17",3.19541743300039e-29,2.10466490667737,0.659,0.172,8.02976446738667e-25,"29","Bcl2l1"
"Fmnl26",3.24591746931505e-29,2.08446527029544,0.568,0.148,8.15666600864179e-25,"29","Fmnl2"
"Tgfbr12",3.42800991582726e-29,1.66384176780044,0.706,0.205,8.61424611748233e-25,"29","Tgfbr1"
"Tdg3",3.50808734261829e-29,2.16545450293672,0.68,0.17,8.8154726832655e-25,"29","Tdg"
"Cit2",4.36061819125598e-29,4.18485538003059,0.411,0.021,1.09577974528071e-24,"29","Cit"
"Zfp6084",4.60325934439974e-29,2.01350940015399,0.706,0.228,1.15675304065421e-24,"29","Zfp608"
"Rad54l22",5.04232099139331e-29,1.87843588117949,0.525,0.139,1.26708484192722e-24,"29","Rad54l2"
"Nudt52",6.3017327279058e-29,2.43271690719634,0.519,0.093,1.58356241719545e-24,"29","Nudt5"
"Fen12",6.46437053667087e-29,2.93804877087665,0.456,0.057,1.62443167216002e-24,"29","Fen1"
"Elof16",6.81944979676041e-29,1.26263164625699,0.803,0.36,1.71365953942792e-24,"29","Elof1"
"Pgm2l14",7.20397266817497e-29,2.155056724016,0.506,0.089,1.81028629178569e-24,"29","Pgm2l1"
"Sf3a12",7.86432262586501e-29,1.78996273842079,0.511,0.142,1.97622563265362e-24,"29","Sf3a1"
"Cotl18",8.07679528199407e-29,1.62291692818308,0.896,0.334,2.02961788641229e-24,"29","Cotl1"
"Hells2",9.09768979901364e-29,3.79412355311938,0.415,0.04,2.28615846959414e-24,"29","Hells"
"Lsm57",9.75327908178756e-29,1.88650183720822,0.765,0.23,2.4509015004624e-24,"29","Lsm5"
"Gdf111",1.06455241408461e-28,3.33305199755115,0.415,0.034,2.67511376135321e-24,"29","Gdf11"
