"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Eprs",1.38544038676358e-27,-1.1622701447804,1,1,3.4814731478982e-23,"Eprs","RM"
"Tmed10",1.94417066499558e-27,-1.01716475044064,1,1,4.8855064640674e-23,"Tmed10","RM"
"Chchd10",2.3886744161112e-27,-1.61091138113271,1,1,6.00249994024585e-23,"Chchd10","RM"
"AW112010",3.27305303306083e-27,1.84697637677897,1,1,8.22485496677857e-23,"AW112010","RM"
"Rgs2",8.27632929308395e-27,-0.858236388453193,1,1,2.07975878805907e-22,"Rgs2","RM"
"Sem1",1.06055732733291e-26,-0.597343810205653,1,1,2.66507450785487e-22,"Sem1","RM"
"Rpl26",1.79593735106004e-26,-0.437193515363891,1,1,4.51301096947878e-22,"Rpl26","RM"
"Rpl27a",2.87428256326584e-26,-0.375246796199561,1,1,7.22278465323073e-22,"Rpl27a","RM"
"Cebpb",3.37086626342567e-26,-1.17017082596885,1,1,8.47064983336238e-22,"Cebpb","RM"
"Csnk1a1",3.44885123735568e-26,-0.740624567647613,1,1,8.66661827435108e-22,"Csnk1a1","RM"
"Pxdc1",4.10204646642141e-26,-1.73044543712324,1,1,1.03080325654704e-21,"Pxdc1","RM"
"Srrm2",4.32010456241092e-26,-0.588565997259751,1,1,1.08559907548824e-21,"Srrm2","RM"
"Cdk11b",4.37429805142425e-26,-1.02107477286768,1,1,1.0992173573424e-21,"Cdk11b","RM"
"Ly6e",5.06922289613171e-26,-0.561735398440879,1,1,1.27384502156894e-21,"Ly6e","RM"
"Ncor1",5.19394877667278e-26,-0.80433634987425,1,1,1.3051873880901e-21,"Ncor1","RM"
"Ttll7",1.09860383992709e-25,-1.58598270599565,1,1,2.76068158935278e-21,"Ttll7","RM"
"Lpcat2",1.15002703537628e-25,-1.36925191889954,1,1,2.88990293719705e-21,"Lpcat2","RM"
"Macf1",1.19952169465819e-25,-0.719437061870289,1,1,3.01427806650657e-21,"Macf1","RM"
"Ier2",1.34100834776731e-25,-1.10654592942515,1,1,3.36981987710447e-21,"Ier2","RM"
