"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","tissue"
"Slirp",0.017828957242528,1.33256678665796,1,1,1,"Slirp","LNG"
"Enpp4",0.018461288114665,-1.17561191003488,0,1,1,"Enpp4","LNG"
"Tex2",0.0186682133743603,-1.19553815113551,0,1,1,"Tex2","LNG"
"Arl6ip1",0.0188607423421792,0.765468762252369,1,1,1,"Arl6ip1","LNG"
"Cib1",0.0188833559809652,1.38524600517103,1,0.333,1,"Cib1","LNG"
"Tmed10",0.0188908344572979,0.829642610246406,1,1,1,"Tmed10","LNG"
"Rpl9",0.0191664573157882,-0.258148614906978,1,1,1,"Rpl9","LNG"
"Fam107b",0.0192413252614135,-1.30633942315602,0.667,1,1,"Fam107b","LNG"
"Herc2",0.019242771770045,-1.2719825443501,0.333,1,1,"Herc2","LNG"
"Ube2v1",0.019397465477072,-1.46417314031282,0.333,1,1,"Ube2v1","LNG"
"Slc38a1",0.0197145769705039,-0.922769662665852,1,1,1,"Slc38a1","LNG"
"Ppp3cc",0.0199174731759604,-1.42180631126359,0.333,1,1,"Ppp3cc","LNG"
"Dnajc1",0.019953232261285,-1.02763261048397,1,1,1,"Dnajc1","LNG"
"Abcc1",0.0203118763615525,-1.24248956159282,0,1,1,"Abcc1","LNG"
"Ccs",0.0206313853504664,1.08983112378104,1,0,1,"Ccs","LNG"
"Omp",0.0212452820080786,1.0596019048443,1,1,1,"Omp","LNG"
"Hltf",0.0213705005475879,-1.26148816094702,0.333,1,1,"Hltf","LNG"
"Hspa5",0.0214044091004834,0.698837125008456,1,1,1,"Hspa5","LNG"
"Eloc",0.021767705639218,-1.11209004197547,1,1,1,"Eloc","LNG"
"Bud23",0.0220620843501519,-1.14892188866916,0,1,1,"Bud23","LNG"
"Rara",0.0220620843501519,-1.14892188866916,0,1,1,"Rara","LNG"
"Mrps25",0.02228302472381,-1.49318204398074,0.333,1,1,"Mrps25","LNG"
"Sntb2",0.022307547531994,-1.20836503831279,0,1,1,"Sntb2","LNG"
"Chordc1",0.0223751868206089,-1.35269307519357,0.667,1,1,"Chordc1","LNG"
"Hcst",0.0224691236568353,-0.709294471524047,1,1,1,"Hcst","LNG"
"Selenof",0.0226332049714341,0.845096754540698,1,1,1,"Selenof","LNG"
"Actr6",0.0229708329265882,1.3231432981457,1,0.333,1,"Actr6","LNG"
"Rpl37",0.0230221063677368,-0.2071983554776,1,1,1,"Rpl37","LNG"
"Arl2",0.0232208278353683,1.11232833415536,1,0,1,"Arl2","LNG"
"Sik3",0.0233852305463292,-1.4209274948628,0.333,1,1,"Sik3","LNG"
"Arl4c",0.0235700173863552,-1.02906850029217,1,1,1,"Arl4c","LNG"
"Thap3",0.0236238395504675,-1.15020209552561,0,0.667,1,"Thap3","LNG"
"Pxdc1",0.0238134942933252,-1.16126123902346,0.667,1,1,"Pxdc1","LNG"
"H2-K1",0.0241848834137878,-0.329773995408894,1,1,1,"H2-K1","LNG"
"Rbm7",0.0242892611776997,-1.28283932091424,0.333,1,1,"Rbm7","LNG"
"Larp1b",0.0243971813538348,-1.16827393714341,0,1,1,"Larp1b","LNG"
"Bst2",0.0245019678556332,-1.32398326522799,0.667,1,1,"Bst2","LNG"
"Calm3",0.0248483982220786,0.908459571510858,1,1,1,"Calm3","LNG"
"Mecr",0.0250906939846858,-1.17435406347188,0,1,1,"Mecr","LNG"
"Btbd1",0.0254843032620385,-1.26063032228736,1,1,1,"Btbd1","LNG"
"Dr1",0.0258423809139625,-1.12509283913235,0,1,1,"Dr1","LNG"
"Rps27rt",0.0259807940610029,-0.980877506837668,1,1,1,"Rps27rt","LNG"
"Hsp90aa1",0.0260655598304566,0.680668575018621,1,1,1,"Hsp90aa1","LNG"
"Scand1",0.0260812927180535,1.19897566049968,1,1,1,"Scand1","LNG"
"Pglyrp1",0.0261578036476201,1.12298863864899,0.667,0,1,"Pglyrp1","LNG"
"Snhg20",0.0261681868287956,-1.24839716835342,0.333,1,1,"Snhg20","LNG"
"Ifitm2",0.026333787903018,1.35422179694929,1,0.667,1,"Ifitm2","LNG"
"Ddx18",0.0264001464128927,-1.15583810728914,1,1,1,"Ddx18","LNG"
"Hnrnpa0",0.026423286885381,0.689447752132219,1,1,1,"Hnrnpa0","LNG"
"Nptn",0.0265606944764147,-1.36627026424737,0.333,1,1,"Nptn","LNG"
"Dstn",0.0265809530629263,0.980119916330181,1,1,1,"Dstn","LNG"
"Sptbn1",0.0266409514018662,0.902425216576668,1,1,1,"Sptbn1","LNG"
"Dhrs4",0.0269509485404017,1.24715563150937,1,0.667,1,"Dhrs4","LNG"
"Tubgcp3",0.0276678558133627,0.951652641927117,1,0.333,1,"Tubgcp3","LNG"
"Gpx4",0.0278236238762686,0.794323724083568,1,1,1,"Gpx4","LNG"
"Dgcr6",0.0282069490597138,1.26975027489294,1,0.333,1,"Dgcr6","LNG"
"Atp13a3",0.0282870208523682,-1.41518055671343,0.333,1,1,"Atp13a3","LNG"
"Ltb4r1",0.0284992709776292,-1.24103182383752,0.667,1,1,"Ltb4r1","LNG"
"Chchd6",0.0285269735757187,1.044415095349,1,0,1,"Chchd6","LNG"
"Atp5c1",0.0286593748091484,0.765096136578465,1,1,1,"Atp5c1","LNG"
"Utp11",0.0287315217417235,-1.17879845846715,0.333,1,1,"Utp11","LNG"
"Pde3b",0.0288538870955113,-1.24491593627068,0.667,1,1,"Pde3b","LNG"
"Reep5",0.0291473608296052,0.992384356536594,1,1,1,"Reep5","LNG"
"Klhl28",0.0293363768205043,1.38344572622643,1,0.333,1,"Klhl28","LNG"
"Gnl3",0.0294139689377814,-1.31564258416314,0.333,1,1,"Gnl3","LNG"
"Rrp8",0.0294837533035416,-1.1752414769824,0.333,1,1,"Rrp8","LNG"
"Ntan1",0.029588652392426,-1.1872115433029,0.667,1,1,"Ntan1","LNG"
"Preb",0.0296430220315083,-1.07610381752865,0,1,1,"Preb","LNG"
"Rps29",0.0297881032702373,-0.189434893724822,1,1,1,"Rps29","LNG"
"Trafd1",0.0300015947656583,-1.08903553386678,0,1,1,"Trafd1","LNG"
"Srsf2",0.0301030406131114,-0.853793514047246,1,1,1,"Srsf2","LNG"
"Cuedc1",0.0302329111430739,-1.18134442807567,0,1,1,"Cuedc1","LNG"
"Pdap1",0.0304181140194797,0.957108706860278,1,1,1,"Pdap1","LNG"
"Lztfl1",0.0305938172393709,-1.34738429743829,0.667,1,1,"Lztfl1","LNG"
"Kif11",0.0309495492450308,1.07562282115649,0.667,0,1,"Kif11","LNG"
"H2-T22",0.0310003531431858,-1.07966841416626,0.667,1,1,"H2-T22","LNG"
"Ep300",0.0312103034718512,-1.18042691697221,0.667,1,1,"Ep300","LNG"
"Ptpn13",0.0313267690308664,-1.29132007054634,0.667,1,1,"Ptpn13","LNG"
"Zbtb25",0.031482002428874,-1.09645067253112,0,1,1,"Zbtb25","LNG"
"Dhx16",0.031482002428874,-1.09645067253112,0,1,1,"Dhx16","LNG"
"Aldoa",0.0316833410310805,0.678754441099494,1,1,1,"Aldoa","LNG"
"Hist1h1d",0.0318428852913351,1.08127080918799,0.667,0,1,"Hist1h1d","LNG"
"1810024B03Rik",0.0319173905763157,-1.09003245086952,0,1,1,"1810024B03Rik","LNG"
"Ormdl3",0.0324019762851705,1.29875307640505,1,0.667,1,"Ormdl3","LNG"
"Mark2",0.0324913165504612,-1.1250497010538,1,1,1,"Mark2","LNG"
"Tshz1",0.0328538238595459,-1.07594414109642,0.333,1,1,"Tshz1","LNG"
"Akr1a1",0.0329026858279476,0.898844936402229,1,1,1,"Akr1a1","LNG"
"Gemin7",0.0329418773596755,-1.17723144446732,0.333,0.667,1,"Gemin7","LNG"
"Svbp",0.0330840507713101,-1.33046034548566,0.333,1,1,"Svbp","LNG"
"Map1b",0.0331832220736292,0.991659798111229,1,1,1,"Map1b","LNG"
"mt-Cytb",0.0332314876578547,-0.247638746071862,1,1,1,"mt-Cytb","LNG"
"Ndufaf2",0.0336530345728224,-1.23518629971107,0.333,1,1,"Ndufaf2","LNG"
"Atp6v1g1",0.0337689287920741,0.811390953402435,1,1,1,"Atp6v1g1","LNG"
"Ccdc32",0.0338309522251307,-1.19873564707811,0.333,1,1,"Ccdc32","LNG"
"Ifrd1",0.0343809929166676,-1.09293471095449,1,1,1,"Ifrd1","LNG"
"Nabp1",0.0357690176714342,-0.826178855506137,1,1,1,"Nabp1","LNG"
"Dstyk",0.0357732429310584,-1.05205389646994,0,1,1,"Dstyk","LNG"
"Mdn1",0.0357732429310584,-1.05205389646994,0,1,1,"Mdn1","LNG"
"1700012B09Rik",0.0359372089956949,1.11706280207332,1,0.333,1,"1700012B09Rik","LNG"
"Dcdc2a",0.0359372089956949,1.11706280207332,1,0.333,1,"Dcdc2a","LNG"
"Lpcat3",0.0365291005072705,-1.11018516955404,0,1,1,"Lpcat3","LNG"
"Ier2",0.0369316097230249,0.758231865739779,1,1,1,"Ier2","LNG"
"Papss1",0.0370485866751551,-1.04440640537012,0,1,1,"Papss1","LNG"
"Prr12",0.0377031186725596,-1.20950955903476,0.333,1,1,"Prr12","LNG"
"Rps23",0.0379966466541051,-0.210530859524096,1,1,1,"Rps23","LNG"
"Pear1",0.0383483750686557,-1.10920208618681,0,1,1,"Pear1","LNG"
"Rps24",0.0390427062021608,-0.140441159862911,1,1,1,"Rps24","LNG"
"Nfe2l1",0.0394729931662167,-1.21011577473027,0.667,1,1,"Nfe2l1","LNG"
"Nsun2",0.0396792643395167,-1.3338990322885,0.333,1,1,"Nsun2","LNG"
"Atxn7l3b",0.039694236551276,0.724965216305176,1,1,1,"Atxn7l3b","LNG"
"H2-M3",0.0397251128730395,-1.17115525819113,0.667,1,1,"H2-M3","LNG"
